
---------- Begin Simulation Statistics ----------
system.cpu.issuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdExt                0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdConfig             0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Add            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Cmp            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Cvt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16DotProd            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16MatMultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16Mult            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::Bf16Cvt                0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::System                 0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::total           40991120                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::No_OpClass        437265      1.07%      1.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::IntAlu          28392495     69.26%     70.33% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::IntMult          1049690      2.56%     72.89% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::IntDiv              1564      0.00%     72.89% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatAdd          242647      0.59%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatCmp               0      0.00%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatCvt               0      0.00%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatMult              0      0.00%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatMultAcc            0      0.00%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatDiv               0      0.00%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatMisc              0      0.00%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatSqrt              0      0.00%     73.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAdd          2635911      6.43%     79.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAddAcc             0      0.00%     79.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAlu          1609518      3.93%     83.84% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdCmp                0      0.00%     83.84% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdCvt          1073156      2.62%     86.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMisc         2098778      5.12%     91.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMult               0      0.00%     91.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMultAcc            0      0.00%     91.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMatMultAcc            0      0.00%     91.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdShift          19947      0.05%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdShiftAcc            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdDiv                0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdSqrt               0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatAdd            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatAlu            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatCmp            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatCvt            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatDiv            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMisc            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMult            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMultAcc            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMatMultAcc            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatSqrt            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdReduceAdd            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdReduceAlu            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdReduceCmp            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatReduceAdd            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatReduceCmp            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAes                0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAesMix             0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdSha1Hash            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdSha1Hash2            0      0.00%     91.63% # Number of instructions issued per FU type, per thread (Count)
